Product/Service Name,Quantity on hand,Item type,Category,SKU,Price,Cost,Income Account,Expense Account,Inventory asset account,Sales Description,Purchase Description,Reorder Point,Preferred Supplier
16403-Z7000,1,Inventory,,,350,172.41,Sales of Product Income,Cost of sales,Inventory Asset,,,,
17801-23030,9,Inventory,,,,,Sales of Product Income,Cost of sales,Inventory Asset,,,0,
ADVANCE 2T SX - T1/2,76,Inventory,,,305,207.41,Sales of Product Income,Cost of sales,Inventory Asset,,,,
ADVANCE 4T AX5 - T1,60,Inventory,,,575,389.7,Sales of Product Income,Cost of sales,Inventory Asset,,,,
ADVANCE 4T AX7 10W-40 T1,3,Inventory,,,600,545,Sales of Product Income:Sales of Lubricant Income,Cost of sales,Inventory Asset,,,5,
AIR CLEANER  P30-13-3A0,7,Inventory,,,850,189.66,Sales of Product Income,Cost of sales,Inventory Asset,,,,
AIR CLEANER 13780-58B00,1,Inventory,,,450,215.52,Sales of Product Income,Cost of sales,Inventory Asset,,,,
AIR CLEANER 13780-71L00,2,Inventory,,,500,301.72,Sales of Product Income,Cost of sales,Inventory Asset,,,,
AIR CLEANER 13780-81A00,2,Inventory,,,1000,689.65,Sales of Product Income,Cost of sales,Inventory Asset,,,,
AIR CLEANER 1500A098,1,Inventory,,,650,258.62,Sales of Product Income,Cost of sales,Inventory Asset,,,,
AIR CLEANER 16546-22600,1,Inventory,,,400,215.52,Sales of Product Income,Cost of sales,Inventory Asset,,,,
AIR CLEANER 16546-2S600,1,Inventory,,,450,172.41,Sales of Product Income,Cost of sales,Inventory Asset,,,,
AIR CLEANER 16546-3HD0A,3,Inventory,,,850,189.66,Sales of Product Income,Cost of sales,Inventory Asset,,,,
AIR CLEANER 16546-41B00,3,Inventory,,,500,387.93,Sales of Product Income,Cost of sales,Inventory Asset,,,,
AIR CLEANER 16546-ED060/ED500,8,Inventory,,,450,301.72,Sales of Product Income,Cost of sales,Inventory Asset,,,,
AIR CLEANER 16546-JD20B,6,Inventory,,,650,344.83,Sales of Product Income,Cost of sales,Inventory Asset,,,,
AIR CLEANER 16546-VO100,5,Inventory,,,500,215.52,Sales of Product Income,Cost of sales,Inventory Asset,,,,
AIR CLEANER 17220 REA-000,7,Inventory,,,500,215.52,Sales of Product Income,Cost of sales,Inventory Asset,,,,
