pump_id/.id,name,letter,order,product_id/.id,init_elec_volume,init_elec_cash,init_mech_volume,init_date
9,DX1,DX,1,9,1595892.521,230738438.16,1595852.00,8/29/2026
9,UX1,UX,2,8,476236.950,66864330.31,476098.00,8/29/2026
9,VP1,VP,3,10,48923.579,7559369.84,48905.00,8/29/2026
10,DX2,DX,1,9,1195884.271,162572098.11,1195893.00,8/29/2026
10,UX2,UX,2,8,1515703.962,220744738.29,1515710.00,8/29/2026
10,VP2,VP,3,10,82193.817,12668854.21,82203.00,8/29/2026
11,DX3,DX,1,9,2015390.085,284237019.84,2015380.00,8/29/2026
11,UX3,UX,2,8,174112.838,24089350.93,174055.00,8/29/2026
11,VP3,VP,3,10,10284.149,1534204.52,10324.00,8/29/2026
12,DX4,DX,1,9,702490.304,101266683.48,702499.00,8/29/2026
12,UX4,UX,2,8,530807.580,79839326.47,530816.00,8/29/2026
12,VP4,VP,3,10,21751.243,3420813.10,21761.00,8/29/2026
13,DX5,DX,1,9,764371.968,101698976.32,764380.00,8/29/2026
13,UX5,UX,2,8,459132.274,65567773.39,304469.00,8/29/2026
13,VP5,VP,3,10,34651.027,5189232.80,34660.00,8/29/2026
14,DX6,DX,1,9,2180198.825,300611130.17,2180207.00,8/29/2026
14,UX6,UX,2,8,903581.957,135669037.28,903590.00,8/29/2026
14,VP6,VP,3,10,52572.809,7989041.20,52582.00,8/29/2026
15,DX7,DX,1,9,885116.246,113674918.49,884917.00,8/29/2026
15,UX7,UX,2,8,709613.329,100573746.27,709622.00,8/29/2026
15,VP7,VP,3,10,64889.779,10126562.28,64899.00,8/29/2026
16,DX8,DX,1,9,1742901.016,242434790.62,1742910.00,8/29/2026
16,UX8,UX,2,8,1224562.306,175369444.47,1224570.00,8/29/2026
16,VP8,VP,3,10,65344.839,9764359.43,65354.00,8/29/2026
